species;clade;family;spec_nr;pop_nr;DPR_orig;DPR;DPR_trans;TPR_orig;Latitude;Longitude;Loc_nr;years_nr;mean_year;Period;N_nests;Exposure
Calidris_temminckii;Scolopaci+;Scolopacidae;24;1;0.025721389;0.035721389;NO;0.475986378;65.021;24.72;16;19;1992;Before 2000;424;4642.56
Calidris_temminckii;Scolopaci+;Scolopacidae;24;3;0.074576271;0.084576271;NO;0.85369888;67.025;-174.142;15;3;1987;Before 2000;19;147.5
Numenius_arquata;Scolopaci+;Scolopacidae;77;6;0.024955437;0.034955437;NO;0.574375206;59.817;16.55;143;3;1988;Before 2000;113;1683
Numenius_phaeopus;Scolopaci+;Scolopacidae;79;2;0.014397121;0.024397121;NO;0.343315229;58.701;-93.802;56;2;1973;Before 2000;55;833.5
Actitis_macularius;Scolopaci+;Scolopacidae;111;3;0.003164056;0.013164056;YES;0.074704633;41.203;-72.119;47;2;1970;Before 2000;22;316.05
Actitis_macularius;Scolopaci+;Scolopacidae;111;4;0.029024943;0.039024943;YES;0.514043047;47.336;-95.193;100;3;1971;Before 2000;18;275.625
Actophilornis_africanus;Charadrii;Other;2;1;0.048414428;0.058414428;YES;0.717888919;-24.672;28.66;34;9;1984;Before 2000;123;1755.675
Anarhynchus_frontalis;Charadrii;Charadriidae;3;1;0.008381226;0.018381226;YES;0.236108467;-43.545;172.186;113;2;1982;Before 2000;58;835.2
Calidris_alpina;Scolopaci+;Scolopacidae;10;3;0.01025641;0.02025641;YES;0.227199417;70.38;-149.534;73;4;1990;Before 2000;35;487.5
Calidris_alpina;Scolopaci+;Scolopacidae;10;2;0.061850444;0.071850444;YES;0.79732418;55.47;12.97;131;6;1983;Before 2000;203;1972.5
Calidris_ferruginea;Scolopaci+;Scolopacidae;13;1;0;0.01;YES;0;75.267;112.467;109;1;1991;Before 2000;25;235
Calidris_himantopus;Scolopaci+;Scolopacidae;15;2;0.013102725;0.023102725;YES;0.271336876;70.38;-149.534;73;4;1990;Before 2000;29;381.6
Calidris_maritima;Scolopaci+;Scolopacidae;16;1;0.024981548;0.034981548;YES;0.478708676;78.217;15.583;78;3;1994;Before 2000;34;440.325
Calidris_mauri;Scolopaci+;Scolopacidae;17;2;0.03373494;0.04373494;YES;0.57595993;66.098546;-169.845542;137;3;1979;Before 2000;52;622.5
Calidris_melanotos;Scolopaci+;Scolopacidae;18;1;0.01135;0.02135;YES;0.26;70.38;-149.534;73;4;1990;Before 2000;123;1762.8
Calidris_minutilla;Scolopaci+;Scolopacidae;20;2;0.023700306;0.033700306;YES;0.43766427;54.017;-132.133;46;5;1986;Before 2000;344;3924
Calidris_pusilla;Scolopaci+;Scolopacidae;22;1;0.010192381;0.020192381;YES;0.213961858;70.38;-149.534;73;4;1990;Before 2000;179;2354.7
Calidris_pusilla;Scolopaci+;Scolopacidae;22;3;0.047281324;0.057281324;YES;0.679616641;58.701;-93.802;56;3;1981;Before 2000;213;2220.75
Calidris_ruficollis;Scolopaci+;Scolopacidae;23;1;0.038057417;0.048057417;YES;0.628205181;66.134;-169.759;137;3;1979;Before 2000;51;604.35
Calidris_tenuirostris;Scolopaci+;Scolopacidae;25;1;0.029360492;0.039360492;YES;0.538518623;64.844;178.314;6;3;1994;Before 2000;13;136.2375
Charadrius_bicinctus;Charadrii;Charadriidae;47;2;0.011579818;0.021579818;YES;0.303069073;-43.545;172.186;113;2;1982;Before 2000;127;1813.5
Charadrius_montanus;Charadrii;Charadriidae;54;1;0.027223902;0.037223902;YES;0.580814682;47.8;-108.017;103;6;1998;Before 2000;584;8779.05
Charadrius_nivosus;Charadrii;Charadriidae;55;3;0.042875388;0.052875388;YES;0.71940105;41.083;-112.117;48;4;1991;Before 2000;359;4384.8
Charadrius_nivosus;Charadrii;Charadriidae;55;2;0.062318239;0.072318239;YES;0.845257861;26.267;-97.367;74;2;1995;Before 2000;67;722.1
