species;clade;family;spec_nr;pop_nr;DPR_orig;DPR_trans;TPR_orig_100;TPR_orig;Latitude;Longitude;Loc_nr;years_nr;mean_year;Period;N_nests;Exposure
Vanellus_vanellus;Charadrii;Charadriidae;109;9;0.033057851;0;0.647292062;64.7292062;57.338;-7.385;125;2;1996;Before 2000;169;1815
Vanellus_vanellus;Charadrii;Charadriidae;109;7;0.03437;0;0.661831426;66.1831426;57.009;-4.164;32;3;1985;Before 2000;247;4324
Vanellus_vanellus;Charadrii;Charadriidae;109;18;0.043468314;1;0.747837679;74.7837679;49.589;13.069;52;4;1994;Before 2000;35;437.1
Xenus_cinereus;Scolopaci+;Scolopacidae;110;1;0.005291005;1;0.133450816;13.3450816;61.713;132.077;148;1;1982;Before 2000;15;189
Arenaria_interpres;Scolopaci+;Scolopacidae;4;1;0.033476805;0;0.586002165;58.6002165;64.017;-81.783;126;4;2001;After 2000;97;1045.5
Burhinus_oedicnemus;Charadrii;Other;6;2;0.014014014;1;0.316859487;31.6859487;27.683;65.233;98;3;2000;After 2000;105;1498.5
Burhinus_oedicnemus;Charadrii;Other;6;1;0.033916701;1;0.606093168;60.6093168;51.195;-1.903;116;2;2004;After 2000;122;1474.2
Burhinus_vermiculatus;Charadrii;Other;7;1;0.012524602;1;0.288443025;28.8443025;-30.972;30.282;97;3;2002;After 2000;27;558.9
Calidris_acuminata;Scolopaci+;Scolopacidae;8;1;0.129032258;0;0.972454299;97.2454299;72.906;106.104;80;12;2006;After 2000;15;77.5
Calidris_alba;Scolopaci+;Scolopacidae;9;2;0.044367759;0;0.749464544;74.9464544;74.478;-20.555;149;6;2003;After 2000;38;405.7
Calidris_alpina;Scolopaci+;Scolopacidae;10;6;0.015267176;0;0.319292766;31.9292766;73.079;80.654;86;1;2002;After 2000;27;393
Calidris_alpina;Scolopaci+;Scolopacidae;10;4;0.016852039;0;0.346159121;34.6159121;58.701;-93.802;56;4;2012;After 2000;114;1483.5
Calidris_bairdii;Scolopaci+;Scolopacidae;11;3;0.04826546;0;0.699437573;69.9437573;73.2;-80;21;10;2009;After 2000;160;1657.5
Calidris_bairdii;Scolopaci+;Scolopacidae;11;1;0.072965006;1;0.841351519;84.1351519;72.883;-78.917;111;2;2006;After 2000;37;342.63
Calidris_ferruginea;Scolopaci+;Scolopacidae;13;2;0.01948052;0;0.38486733;38.486733;73.079;80.654;86;1;2002;After 2000;12;154
Calidris_fuscicollis;Scolopaci+;Scolopacidae;14;2;0.054393305;0;0.766399379;76.6399379;69.4;-81.6;57;2;2013;After 2000;23;239
Calidris_fuscicollis;Scolopaci+;Scolopacidae;14;1;0.074786325;1;0.86747643;86.747643;72.883;-78.917;111;2;2007;After 2000;20;187.2
Calidris_himantopus;Scolopaci+;Scolopacidae;15;3;0.034482759;0;0.56923461;56.923461;70.1;-145.8;22;5;2012;After 2000;17;174
Calidris_mauri;Scolopaci+;Scolopacidae;17;5;0.045612009;0;0.688739402;68.8739402;67.1;-163.5;23;5;2012;After 2000;157;1732
Calidris_mauri;Scolopaci+;Scolopacidae;17;1;0.05;0;0.72;72;64.449;-164.977;2;3;2013;After 2000;196;2280
Calidris_melanotos;Scolopaci+;Scolopacidae;18;3;0.045454546;0;0.701659673;70.1659673;73.2;-80;21;6;2011;After 2000;13;110
Calidris_melanotos;Scolopaci+;Scolopacidae;18;1;0.05128;1;0.75;75;70.38;-149.534;73;2;2011;After 2000;18;195
Calidris_melanotos;Scolopaci+;Scolopacidae;18;4;0.208604954;0;0.997718468;99.7718468;72.906;106.104;80;2;2013;After 2000;88;383.5
Calidris_minuta;Scolopaci+;Scolopacidae;19;1;0.019525802;0;0.383140654;38.3140654;73.079;80.654;86;1;2002;After 2000;126;1434
Calidris_minuta;Scolopaci+;Scolopacidae;19;2;0.114942529;0;0.949788745;94.9788745;72.906;106.104;80;2;2013;After 2000;17;87
Calidris_pusilla;Scolopaci+;Scolopacidae;22;1;0.008849558;0;0.188515721;18.8515721;70.38;-149.534;73;1;2013;After 2000;17;226
Calidris_pusilla;Scolopaci+;Scolopacidae;22;5;0.021274109;0;0.396697233;39.6697233;70.4;-150.7;28;4;2012;After 2000;327;4277.5
Calidris_pusilla;Scolopaci+;Scolopacidae;22;6;0.041516246;0;0.630816932;63.0816932;70.6;-154.7;58;4;2012;After 2000;203;2216
Calidris_pusilla;Scolopaci+;Scolopacidae;22;4;0.08411215;0;0.873148969;87.3148969;69.4;-81.6;57;2;2013;After 2000;15;107
Calidris_temminckii;Scolopaci+;Scolopacidae;24;1;0.038727902;1;0.624517981;62.4517981;65.021;24.72;16;4;2004;After 2000;76;877.92
Charadrius_alexandrinus;Charadrii;Charadriidae;45;6;0.033333333;1;0.6258674;62.58674;15.2;-23.168;83;9;2011;After 2000;542;6960
Charadrius_alexandrinus;Charadrii;Charadriidae;45;4;0.047768324;1;0.758155561;75.8155561;24.258;54.604;3;2;2005;After 2000;239;2679.6
Charadrius_alexandrinus;Charadrii;Charadriidae;45;3;0.073891626;1;0.892057486;89.2057486;27.065;49.484;61;1;2015;After 2000;12;121.8
Charadrius_alexandrinus;Charadrii;Charadriidae;45;5;0.079653156;1;0.909927069;90.9927069;16.681;42.114;42;3;2008;After 2000;196;1983.6
Charadrius_dubius;Charadrii;Charadriidae;48;1;0.027027027;0;0.541992979;54.1992979;49.0343;14.799;135;5;2001;After 2000;73;740
Charadrius_falklandicus;Charadrii;Charadriidae;49;1;0.007539042;0;0.194004166;19.4004166;-42.729;-65.036;110;2;2014;After 2000;75;928.5
Charadrius_marginatus;Charadrii;Charadriidae;51;1;0.03968254;1;0.678178462;67.8178462;-22.095;43.269;7;8;2011;After 2000;341;5443.2
Charadrius_melodus;Charadrii;Charadriidae;52;3;0.01684156;1;0.409351822;40.9351822;50.433;-106.667;53;3;2003;After 2000;149;2315.7
Charadrius_melodus;Charadrii;Charadriidae;52;1;0.020904528;1;0.480511055;48.0511055;42.765;-97.062;92;3;2006;After 2000;550;7988.7
