species;clade;family;spec_nr;pop_nr;DPR_orig;DPR;DPR_trans;TPR;TPR_perc;Latitude;Belt;Belt2;Longitude;Loc_nr;Continent;years_nr;mean_year;period_orig;period_minus5;period_plus5;N_nests;Exposure;research_intensity
Charadrius_falklandicus;Charadrii;Charadriidae;49;1;0.007539042;0.017539042;NO;0.194004166;19.4004166;-42.729;South temperate;1_South temperate;-65.036;110;AME;2;2014;after 2000;after 1995;after 2005;75;928.5;1_small
Charadrius_hiaticula;Charadrii;Charadriidae;50;5;0.022321429;0.032321429;YES;0.468515379;46.8515379;68.61;Arctic;5_Arctic;171.241;12;ASI;9;1976;before 2000;before 1995;before 2005;19;268.8;2_medium
Charadrius_hiaticula;Charadrii;Charadriidae;50;2;0.032967033;0.042967033;NO;0.608838741;60.8838741;72.233;Arctic;5_Arctic;-23.917;88;AME;1;1974;before 2000;before 1995;before 2005;13;182;1_small
Charadrius_hiaticula;Charadrii;Charadriidae;50;3;0.030482642;0.040482642;NO;0.579702803;57.9702803;55.667;North temperate;4_North temperate;-1.833;75;EUR;2;1975;before 2000;before 1995;before 2005;111;1181;1_small
Charadrius_hiaticula;Charadrii;Charadriidae;50;4;0.163616792;0.173616792;NO;0.993280321;99.3280321;56.76;North temperate;4_North temperate;-2.418;31;EUR;2;1975;before 2000;before 1995;before 2005;82;464.5;1_small
Charadrius_hiaticula;Charadrii;Charadriidae;50;1;0.051154369;0.061154369;NO;0.770133466;77.0133466;57.338;North temperate;4_North temperate;-7.385;125;EUR;5;1991;before 2000;before 1995;before 2005;183;2209;1_small
Charadrius_marginatus;Charadrii;Charadriidae;51;1;0.03968254;0.04968254;YES;0.678178462;67.8178462;-22.095;South tropics;2_South tropics;43.269;7;EUR;8;2011;after 2000;after 1995;after 2005;341;5443.2;3_high
Charadrius_melodus;Charadrii;Charadriidae;52;3;0.01684156;0.02684156;YES;0.409351822;40.9351822;50.433;North temperate;4_North temperate;-106.667;53;AME;3;2003;after 2000;after 1995;before 2005;149;2315.7;2_medium
Charadrius_melodus;Charadrii;Charadriidae;52;1;0.020904528;0.030904528;YES;0.480511055;48.0511055;42.765;North temperate;4_North temperate;-97.062;92;AME;3;2006;after 2000;after 1995;after 2005;550;7988.7;1_small
Charadrius_melodus;Charadrii;Charadriidae;52;2;0.051523298;0.061523298;YES;0.805988845;80.5988845;52.617;North temperate;4_North temperate;-109.983;44;AME;2;1996;before 2000;after 1995;before 2005;36;446.4;1_small
Charadrius_mongolus;Charadrii;Charadriidae;53;1;0.021786492;0.031786492;NO;0.442182841;44.2182841;62.543;Arctic;5_Arctic;177.076;87;ASI;8;2012;after 2000;after 1995;after 2005;67;918;3_high
Charadrius_montanus;Charadrii;Charadriidae;54;1;0.027223902;0.037223902;YES;0.580814682;58.0814682;47.8;North temperate;4_North temperate;-108.017;103;AME;6;1998;before 2000;after 1995;before 2005;584;8779.05;3_high
Charadrius_nivosus;Charadrii;Charadriidae;55;3;0.042875388;0.052875388;YES;0.71940105;71.940105;41.083;North temperate;4_North temperate;-112.117;48;AME;4;1991;before 2000;before 1995;before 2005;359;4384.8;3_high
Charadrius_nivosus;Charadrii;Charadriidae;55;5;0.013688257;0.023688257;YES;0.329479734;32.9479734;23.9;North tropics;3_North tropics;-106.95;27;AME;10;2011;after 2000;after 1995;after 2005;731;10300.8;3_high
Charadrius_nivosus;Charadrii;Charadriidae;55;2;0.062318239;0.072318239;YES;0.845257861;84.5257861;26.267;North tropics;3_North tropics;-97.367;74;AME;2;1995;before 2000;after 1995;before 2005;67;722.1;3_high
Charadrius_nivosus;Charadrii;Charadriidae;55;4;0.032971562;0.042971562;YES;0.62178554;62.178554;36.727;North temperate;4_North temperate;-121.796;93;AME;7;1987;before 2000;before 1995;before 2005;690;8734.8;2_medium
Charadrius_nivosus;Charadrii;Charadriidae;55;1;0.041828198;0.051828198;YES;0.710360235;71.0360235;37.587;North temperate;4_North temperate;-122.118;1;AME;2;2009;after 2000;after 1995;after 2005;247;2940.6;2_medium
Charadrius_obscurus;Charadrii;Charadriidae;46;1;0.018621974;0.028621974;YES;0.462227148;46.2227148;-37.557;South temperate;1_South temperate;176.058;85;ASI;8;1995;before 2000;after 1995;before 2005;261;5316.3;1_small
Charadrius_pecuarius;Charadrii;Charadriidae;56;1;0.035238795;0.045238795;YES;0.613521334;61.3521334;-22.095;South tropics;2_South tropics;43.269;7;EUR;8;2011;after 2000;after 1995;after 2005;829;12855.15;3_high
