species;clade;family;spec_nr;pop_nr;DPR_orig;DPR;DPR_trans;TPR_orig;Latitude;Longitude;Loc_nr;years_nr;mean_year;Period;N_nests;Exposure
Charadrius_marginatus;Charadrii;Charadriidae;51;1;0.03968254;0.04968254;YES;0.678178462;-22.095;43.269;7;8;2011;After 2000;341;5443.2
Charadrius_nivosus;Charadrii;Charadriidae;55;5;0.013688257;0.023688257;YES;0.329479734;23.9;-106.95;27;10;2011;After 2000;731;10300.8
Charadrius_pecuarius;Charadrii;Charadriidae;56;1;0.035238795;0.045238795;YES;0.613521334;-22.095;43.269;7;8;2011;After 2000;829;12855.15
Charadrius_ruficapillus;Charadrii;Charadriidae;59;1;0.075091575;0.085091575;YES;0.887600445;-37.885;144.799;55;1;2012;After 2000;62;546
Charadrius_thoracicus;Charadrii;Charadriidae;62;2;0.026340996;0.036340996;YES;0.538895198;-24.145;43.829;136;1;2004;After 2000;74;835.2
Charadrius_thoracicus;Charadrii;Charadriidae;62;1;0.02765051;0.03765051;YES;0.556545235;-22.095;43.269;7;11;2009;After 2000;522;9330.75
Cursorius_cursor;Scolopaci+;Other;28;1;0.046296296;0.056296296;YES;0.655806189;15.2;-23.168;83;2;2014;After 2000;21;216
Numenius_madagascariensis;Scolopaci+;Scolopacidae;78;1;0.015571473;0.025571473;YES;0.411663719;49.397;129.908;18;10;2002;After 2000;22;321.1
Numenius_phaeopus;Scolopaci+;Scolopacidae;79;4;0.049666525;0.059666525;YES;0.771753148;63.764;-20.068;127;2;2009;After 2000;59;704.7
Pluvialis_squatarola;Charadrii;Charadriidae;86;2;0.014998125;0.024998125;YES;0.381091335;71.333;-179.5;147;1;2007;After 2000;16;266.7
Scolopax_minor;Scolopaci+;Scolopacidae;92;1;0.018744143;0.028744143;YES;0.367995952;40.525;-76.464;132;2;2009;After 2000;13;160.05
Vanellus_gregarius;Charadrii;Charadriidae;105;2;0.04353562;0.05353562;YES;0.712441357;53.173;76.047;106;1;2007;After 2000;130;1516
Vanellus_miles;Charadrii;Charadriidae;107;1;0.002240896;0.012240896;YES;0.075515859;-38.48;145.224;107;1;2010;After 2000;32;1338.75
Calidris_alba;Scolopaci+;Scolopacidae;9;2;0.044367759;0.054367759;NO;0.749464544;74.478;-20.555;149;6;2003;After 2000;38;405.7
Vanellus_vanellus;Charadrii;Charadriidae;109;12;0.023853469;0.033853469;NO;0.526886362;53.523;8.398;130;5;2003;After 2000;245;2705
